,t_F,T_F,t_T,T_T,t_S,T_S,t_T2,T_T2,T_H,P_ppc,N0,logN
1.14,1.476742978,4.240213989,5.893110265,3.786416065,2.814524487,2.29718021,0.024361348,8.734509475,3.847244053,0.244333928,0.99025281,3.748196438
2.14,1.331417975,3.619606784,4.589780465,6.987720731,2.929316393,1.189759669,0.031503809,9.496511659,8.519892157,0.244333928,8.199046674,7.755663206
3.14,1.408275825,3.922400363,4.839090912,5.797318472,0.495631229,0.349371394,0.016884499,7.121692863,10.58968845,0.244333928,30.49457146,8.427808686
4.14,1.76679612,3.621685075,7.684591058,2.856506062,7.379839353,4.5444241,0.065686981,6.884556486,6.286740018,0.244333928,18.40111205,8.142472654
5.14,1.798393193,3.537642003,7.163991568,7.051724354,0.252907987,2.354264448,0.048327746,7.71504667,2.653552037,0.244333928,0.066724038,4.869650182
6.14,1.676507432,4.257999881,5.672361566,5.954685703,0.226181854,1.228726172,0.041771502,9.777463217,4.475154432,0.244333928,0.06149643,4.504936153
7.14,1.52551769,4.060584893,4.882294149,6.008362509,4.978465928,0.877008442,0.011125804,8.469813275,2.27688232,0.244333928,4.58739269,5.853946638
8.14,1.26288567,3.741543907,3.814181703,6.211116016,2.779686193,1.124629191,0.030038073,7.885803584,-0.006905815,0.244333928,3.974859037,3.384949245
9.14,1.478320896,4.483428711,5.985181522,5.116536316,5.376217331,1.239585132,0.014556467,8.042411916,5.887482331,0.244333928,16.49502838,7.770055718
10.14,1.26387959,4.08170166,7.153478729,4.099060395,4.406924017,3.461820363,0.048360944,9.492006957,3.855129682,0.244333928,0.977820324,6.442119183
11.14,1.776341556,3.662841222,3.193567209,3.021980158,0.373719621,1.718349148,0.053405975,9.466792277,4.851604106,0.244333928,2.708043434,6.490849737
12.14,1.879708395,4.040120111,7.65658919,3.524385886,0.572459228,3.803036144,0.052631997,9.089337105,6.996958863,0.244333928,11.72873616,6.604182388
13.14,1.796211081,3.943314849,6.162269058,8.586686909,2.168561069,1.298220853,0.024565524,9.254325164,2.685829056,0.244333928,0.077199581,4.142653425
14.14,1.200832097,3.505351255,4.398704382,6.814134496,4.724328419,2.526951792,0.045492874,9.203794701,4.418950372,0.244333928,0.968079411,7.746053541
15.14,1.644375648,3.986901339,4.067865126,6.18783415,1.631261183,4.704302148,0.073450666,8.332218217,3.329681691,0.244333928,5.285163129,8.263586535
16.14,1.664256722,3.713274113,7.362575043,4.264514654,0.682324482,0.416092996,0.063029072,9.014460563,3.544562845,0.244333928,0.067952523,4.698658319
17.14,1.482206882,4.496660254,6.32847553,5.439174609,4.254235816,3.092105763,0.046399695,7.296470799,3.2140147,0.244333928,10.67996389,6.64923097
18.14,1.103615891,4.120564326,5.577783467,7.029616799,1.245704883,3.97737795,0.033307038,9.802559809,3.975677103,0.244333928,0.051549102,3.975293263
19.14,1.400639934,4.399279868,6.066991341,4.407320381,0.478428548,-1.010474498,0.027002827,7.514617175,4.068928656,0.244333928,0.112552538,3.634748775
20.14,1.56614892,4.35991218,3.511113135,3.366402414,3.080743068,-0.290001867,0.035224712,9.327124125,0.468843902,0.244333928,0.014243326,-0.354289286
21.14,1.797389996,4.274197223,8.128712956,5.145144458,3.239391966,2.928462536,0.040959598,8.5719476,3.49792351,0.244333928,0.961752034,5.969166516
22.14,1.637395265,3.866365874,8.175652806,3.447913138,3.64624443,2.644041953,0.041615715,7.417541652,4.367779778,0.244333928,0.004918049,1.840543654
23.14,1.632946837,3.985163779,3.748702724,4.12575279,2.872933294,1.444712204,0.04485339,8.960552848,4.434028611,0.244333928,6.020365602,8.145518888
24.14,1.164543318,4.203333372,4.444230586,6.432773268,2.457820262,1.434224931,0.04653137,8.190807359,3.556555767,0.244333928,0.31980602,7.815811554
25.14,1.545631205,4.128047954,6.232554749,3.683786009,2.906203404,2.789439756,0.040278238,8.440110801,3.190895668,0.312254558,10.12063201,5.223106098
26.14,1.77139785,4.49759885,5.420308672,6.784959842,3.010215211,3.280447765,0.104424224,8.225218536,6.117409843,0.312254558,22.25727773,7.78730189
27.14,1.236085393,3.70155254,6.957760875,5.224114625,3.53939714,1.237907419,0.011276913,8.577833292,4.589748398,0.312254558,63.18174941,8.253534114
28.14,1.540349433,3.764620494,5.492819583,4.331053573,4.162305165,3.87262189,0.032676674,8.486350584,2.797669743,0.312254558,115.2203785,8.108680396
29.14,1.497388967,3.58058527,7.055805318,7.056376684,4.626710571,0.637440394,0.051792602,9.66529447,5.061095506,0.312254558,0.669134785,5.376976843
30.14,1.22117175,3.74636619,2.11213439,2.529496691,3.654953616,1.778753876,0.034227843,8.051289889,8.659484328,0.312254558,168.1394002,7.729275754
31.14,1.496350723,4.294570535,2.8894634,5.097490925,7.10027517,1.973029816,0.04674689,8.840593736,2.161416648,0.312254558,1.986613008,8.075981359
32.14,1.116561042,3.726045333,8.818993693,4.950669787,1.380042391,1.696040502,0.067983182,7.130545142,3.651149345,0.312254558,0.721914207,8.13223786
33.14,1.130897589,4.034124874,4.487937724,6.081920284,2.087277348,1.937118536,0.020429302,9.664245342,7.616770915,0.312254558,1.227953064,7.283664447
34.14,1.729551579,4.172998598,5.345731887,6.165996308,2.105346813,3.760252436,0.031777134,7.666971117,3.82154483,0.312254558,0.236538676,4.792046511
35.14,1.439592636,3.96037437,6.030254037,4.880327899,4.027461979,-1.228805857,0.058259375,8.946796833,8.149116703,0.312254558,18.27185025,8.086849687
36.14,1.016069444,4.081062729,3.538672291,7.116016197,1.605640494,0.424402434,0.036839033,9.081647394,1.849967793,0.312254558,6.209990476,6.196343261
37.14,1.659689092,4.124302009,5.422594546,4.306337672,3.40644744,1.540982941,0.031242439,8.502512961,5.344092307,0.312254558,616.5817996,7.120643444
38.14,1.627293066,3.520542204,4.137011539,3.671585331,4.009945969,1.463283128,0.013011431,7.90801645,2.215760495,0.312254558,1.045180762,3.524708378
39.14,1.457204275,4.004647967,6.393794227,3.166273269,2.468334831,1.545615358,0.036489407,7.119507304,4.161962409,0.312254558,91.18986456,5.39058996
40.14,1.214335543,3.800082496,2.434876305,5.078151906,6.775491656,5.291731691,0.059948829,9.445692249,2.717034771,0.312254558,1.009490825,4.831558897
41.14,1.35100175,4.367676844,7.677023439,4.532380919,1.389668945,4.697930662,0.045183588,7.794123739,3.91391544,0.312254558,3.811149312,8.130107919
42.14,1.46695005,3.73765048,4.156833847,4.42070409,5.555936379,3.522631868,0.041727408,9.691706741,2.609562574,0.312254558,14.53640615,7.842731802
43.14,1.558928196,4.057753847,4.811110833,3.205302683,4.943838994,0.418722149,0.050588508,9.957229741,2.584874283,0.312254558,28.38683468,4.490267504
44.14,1.041809754,4.396963061,8.06913113,7.048583869,2.413347811,3.422602142,0.017958738,8.352370615,3.750576445,0.312254558,3.302112567,7.610668812
45.14,1.851327063,4.120516508,9.387211339,7.253388093,8.834591252,4.260801972,0.035043102,8.342930726,1.560092565,0.312254558,0.842122919,7.693686634
46.14,1.908418093,3.71784797,3.846485462,5.620045528,3.529021197,1.2803137,0.035659843,7.091798527,5.703329789,0.312254558,256.8412581,6.597644654
47.14,1.093859625,3.561339816,5.877165366,5.993124265,3.821843152,1.721981334,0.079483496,8.791767223,3.99242882,0.312254558,1.580031152,6.931457393
48.14,1.532752508,4.030995116,7.432231768,4.489285794,4.067139101,3.479108936,0.038476491,9.46162254,4.005179923,0.312254558,6.153977173,5.364204832
49.14,1.520343531,3.985969315,5.584735306,8.948154882,2.296022098,2.544778015,0.030738952,8.074018528,4.42616425,0.312254558,17.98811318,7.951151119
50.14,1.874677101,4.028061303,5.68515829,7.344033139,4.902262822,1.086811352,0.017158686,9.548844211,5.926828204,0.312254558,0.814157264,5.039620523
51.14,1.756413185,4.160306442,4.666474935,4.497065359,0.07953766,3.844857139,0.040054047,9.210545089,4.455982302,0.312254558,0.154910255,8.054461164
52.14,1.820654042,3.584363861,3.838684925,6.19926939,1.007233532,2.994284905,0.022567462,7.195170049,7.602036954,0.312254558,3.234784473,7.74707058
53.14,1.129786169,3.675610408,6.035159612,6.149429213,4.836383272,-1.226244197,0.023231065,8.00876156,4.152229033,0.312254558,0.04113791,3.023347036
54.14,1.325160295,3.599777676,5.33086725,8.292367883,0.856626295,2.221285781,0.057195185,7.040340501,2.030734896,0.312254558,30.68246369,6.91160858
55.14,1.858614113,3.91593686,6.873819666,5.406085224,6.696485054,0.461054352,0.080009093,9.119773379,3.261941006,0.312254558,21.44057222,7.999688197
56.14,1.747982336,4.402484717,6.905957916,2.617985466,1.265349827,2.393918549,0.033927346,9.516887926,5.57741907,0.177210317,0.009663525,2.026091847
57.14,1.330155576,4.16321403,5.964197866,3.105332666,4.528533173,2.48957748,0.030093388,8.730858964,4.469530004,0.177210317,145.3584367,8.046069525
58.14,1.855089673,4.029997327,6.263426734,7.213934838,3.068133991,2.223110627,0.042025105,9.702173255,4.231532292,0.177210317,65.48477516,7.742948533
59.14,1.043377317,3.801105647,7.367693172,4.779963717,4.963956141,4.675962488,0.060487898,6.757434646,2.713687223,0.177210317,2.565696299,8.138143354
60.14,1.437357653,4.447871452,3.554706095,5.547992043,3.63474428,2.335245875,0.032592886,6.882594138,2.557221761,0.177210317,0.018817545,2.454567244
61.14,1.417764195,4.094726982,3.330394458,5.394322987,5.890720828,1.525485944,0.020657923,9.135886419,6.807763925,0.177210317,10.49655406,5.367310164
62.14,1.258204744,4.211627444,5.878413395,5.404151712,2.70355325,0.587365634,0.029594623,9.932760625,1.751865094,0.177210317,6.523398521,4.497760807
63.14,1.599715762,4.074716468,7.118573163,7.668675356,1.020816022,2.195290659,0.035440993,7.739460307,4.525060756,0.177210317,2.153283075,6.939016583
64.14,1.648789696,3.904438441,7.391073326,8.506236328,4.921607124,-0.335434702,0.038061464,8.156132091,4.188128958,0.177210317,15.09739621,8.099109107
65.14,1.286077264,4.325184868,4.545682623,4.533051593,0.53508187,0.16307514,0.022417609,7.981647531,1.158459155,0.177210317,13.34318759,6.237137832
66.14,1.875544386,3.621925356,3.334270656,2.713528773,5.178664085,1.897325819,0.041812761,8.304526983,4.731990788,0.177210317,92.33082632,4.986863495
67.14,1.748740682,3.681189762,7.857242426,6.519516978,0.195288933,-0.696593593,0.060758917,8.013517768,3.167830278,0.177210317,0.859957951,8.170383077
68.14,1.16234721,4.308285173,4.170319058,8.130055429,3.839133429,1.1691167,0.052575441,7.730674884,6.594845326,0.177210317,8.953161377,7.63096589
69.14,1.89382505,4.397586749,3.248706625,7.535975294,6.472085741,-0.25793072,0.034487603,6.886569345,5.714083986,0.177210317,63.5072014,8.133413479
70.14,1.062172716,4.257065966,2.656067616,5.046138157,0.908593519,0.655436963,0.056714617,9.940225365,0.96831934,0.177210317,0.122735638,2.410124975
71.14,1.978192625,3.921193386,5.735222299,3.946924656,2.776501346,4.441477939,0.068817952,8.88822756,1.045209264,0.177210317,0.012254252,3.339836643
72.14,1.110178937,4.448279086,3.451070371,4.434859828,6.180386623,0.454363134,0.016036062,8.704612766,3.736166806,0.177210317,13.49944155,4.403367589
73.14,1.377868799,3.734782244,3.989246706,6.520888197,5.864023282,3.379758389,0.028475735,9.975969262,7.63941851,0.177210317,33.90924803,8.06900901
74.14,1.977100987,3.716357341,4.079869802,3.91277894,1.450430488,0.067347332,0.049681918,9.272564981,3.258937603,0.165753075,26.72209864,4.96864351
75.14,1.408406631,3.695456717,5.867958393,2.941819468,3.238987638,3.375213209,0.01221023,7.747512183,1.857739643,0.165753075,0.842148042,3.426710606
76.14,1.052475317,3.999855538,4.575925729,5.777103817,1.037156811,0.259926764,0.062986855,7.156246449,3.176135323,0.165753075,6.069649496,5.350674499
77.14,1.879093181,4.381267678,3.686903481,3.670095046,0.075846567,3.278084749,0.056629226,8.900601722,4.371526238,0.165753075,1.840054511,5.415495586
78.14,1.337496226,4.096559398,5.511557607,5.639615242,1.32038167,2.447417556,0.048942226,8.969071092,5.762949049,0.165753075,5.767004801,6.775836992
79.14,1.671747238,4.347352375,5.963649679,8.790596043,4.173742459,1.067197056,0.050517883,9.160937069,5.427150142,0.165753075,4.551401808,7.087611894
80.14,1.637550771,3.646056843,5.488623369,3.570448141,2.833571538,3.930769664,0.016543019,7.861494713,3.572718503,0.165753075,0.449223215,8.028385461
