plantID,tier,projectNumber,sampleUniqueID,sampleID,product,flavorName,fatLevel,size,container,dateProcessed,dateCode,sampleDay,test,greaterThanLessThan,dataValue,countability
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,DI,SPC,NULL,3200,NULL
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,DI,CVTA,NULL,4500,NULL
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,D7,SPC,NULL,29000000,NULL
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,D7,CVTA,NULL,27000000,NULL
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,D14,SPC,NULL,3500000000,NULL
59,3,507,6813,11,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-22,D14,CVTA,NULL,2700000000,NULL
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,DI,SPC,NULL,130,E
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,DI,CVTA,<,20,E
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,D7,SPC,NULL,100,E
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,D7,CVTA,<,20,E
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,D14,SPC,NULL,27000,NULL
75,3,507,6815,21,Core,White,Whole,Qt,Plastic,2023-01-08,2023-01-29,D14,CVTA,>,400000,E
75,3,507,6817,25,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-03,2023-02-03,DI,SPC,NULL,110,E
75,3,507,6817,25,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-03,2023-02-03,DI,CVTA,<,20,E
75,3,507,6817,25,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-03,2023-02-03,D14,SPC,NULL,240,E
75,3,507,6817,25,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-03,2023-02-03,D14,CVTA,NULL,40,E
30,2,507,6819,31,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,90,E
30,2,507,6819,31,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
30,2,507,6819,31,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,120,E
