plantName,projectNumber,sampleID,product,milkType,size,container,dateProcessed,dateCode,dateInitial,count_DI_SPC,count_DI_CVTA,count_D7_SPC,count_D7_CVTA,count_D14_SPC,count_D14_CVTA,count_D21_SPC,count_D21_CVTA,censor_DI_SPC,censor_DI_CVTA,censor_D7_SPC,censor_D7_CVTA,censor_D14_SPC,censor_D14_CVTA,censor_D21_SPC,censor_D21_CVTA,dataValue_DI_SPC,dataValue_DI_CVTA,dataValue_D7_SPC,dataValue_D7_CVTA,dataValue_D14_SPC,dataValue_D14_CVTA,dataValue_D21_SPC,dataValue_D21_CVTA,countability_DI_SPC,countability_DI_CVTA,countability_D7_SPC,countability_D7_CVTA,countability_D14_SPC,countability_D14_CVTA,countability_D21_SPC,countability_D21_CVTA,flavorName,fatLevel,creamline,ID
Garelick Farms of New York,502,11,Core,Whole White,½ Gal,Plastic,2022-07-12,2022-07-31,2022-07-14,70 E,< 20 E,130 E,< 20 E,> 400000 E,> 400000 E,250000000,220000000,,<,,<,>,>,,,70,20,130,20,400000,400000,250000000,220000000,E,E,E,E,E,E,,,White,Whole,,6540
Garelick Farms of New York,502,12,Core,2% White,½ Gal,Plastic,2022-07-12,2022-07-31,2022-07-14,470,180 E,40000,15000,3200000000,370000000,750000000,740000000,,,,,,,,,470,180,40000,15000,3200000000,370000000,750000000,740000000,,E,,,,,,,White,2%,,6541
Garelick Farms of New York,502,12-1,Extras,2% White,Qt,Plastic,2022-07-12,2022-07-31,2022-07-14,810,460,45000,26000,350000000,470000000,12000000000,15000000000,,,,,,,,,810,460,45000,26000,350000000,470000000,12000000000,15000000000,,,,,,,,,White,2%,,6544
Garelick Farms of New York,502,13,Core,Skim White,½ Gal,Plastic,2022-07-12,2022-07-31,2022-07-14,60 E,< 20 E,270 E,180 E,250000000,41000000,8400000000,8900000000,,<,,,,,,,60,20,270,180,250000000,41000000,8400000000,8900000000,E,E,E,E,,,,,White,Skim,,6542
Garelick Farms of New York,502,14,Core,1% White,½ Gal,Plastic,2022-07-12,2022-07-31,2022-07-14,50 E,< 20 E,2800,2200,2100000000,2700000000,11000000000,10000000000,,<,,,,,,,50,20,2800,2200,2100000000,2700000000,11000000000,10000000000,E,E,,,,,,,White,1%,,6543
King Brothers Dairy,502,21,Core,Whole White,½ Gal,Plastic,2022-07-12,2022-08-01,2022-07-14,400,< 20 E,62000,33000,230000000,350000000,,,,<,,,,,,,400,20,62000,33000,230000000,350000000,,,,E,,,,,,,White,Whole,,6545
King Brothers Dairy,502,22,Core,2% White,½ Gal,Plastic,2022-07-11,2022-07-31,2022-07-14,360 E,100 E,7100,8800,380000000,920000000,,,,,,,,,,,360,100,7100,8800,380000000,920000000,,,E,E,,,,,,,White,2%,,6546
King Brothers Dairy,502,22-1,Extras,2% White,Gal,Plastic,2022-07-11,2022-07-31,2022-07-14,430,200 E,1500,2000,32000000,34000000,,,,,,,,,,,430,200,1500,2000,32000000,34000000,,,,E,,,,,,,White,2%,,6550
King Brothers Dairy,502,22-2,Extras,2% White,½ Gal,Glass,2022-07-11,2022-07-31,2022-07-14,150 E,< 20 E,80 E,< 20 E,7100,< 20 E,,,,<,,<,,<,,,150,20,80,20,7100,20,,,E,E,E,E,,E,,,White,2%,,6551
King Brothers Dairy,502,23,Core,Skim White,½ Gal,Plastic,2022-07-11,2022-07-31,2022-07-14,1100,560,34000,33000,210000000,210000000,,,,,,,,,,,1100,560,34000,33000,210000000,210000000,,,,,,,,,,,White,Skim,,6547
King Brothers Dairy,502,25,Flavored,Whole Chocolate,½ Gal,Plastic,2022-07-11,2022-07-31,2022-07-14,< 10 E,< 20 E,10 E,< 20 E,> 400000 E,> 40000000000 E,,,<,<,,<,>,>,,,10,20,10,20,400000,40000000000,,,E,E,E,E,E,E,,,Chocolate,Whole,,6548
King Brothers Dairy,502,25-1,Single Serve,Whole Chocolate,Pt,Plastic,2022-07-11,2022-07-31,2022-07-14,40 E,60 E,60 E,80 E,> 400000000 E,> 400000000 E,,,,,,,>,>,,,40,60,60,80,400000000,400000000,,,E,E,E,E,E,E,,,Chocolate,Whole,,6549
Hillcrest Dairy,502,31,Core,Whole White,½ Gal,Plastic,2022-07-14,2022-07-28,2022-07-14,10 E,< 20 E,220 E,< 20 E,1500000,540000,,,,<,,<,,,,,10,20,220,20,1500000,540000,,,E,E,E,E,,,,,White,Whole,,6552
Hillcrest Dairy,502,31-1,Extras,Whole White,½ Gal,Plastic,2022-07-13,2022-07-27,2022-07-14,< 10 E,< 20 E,60 E,< 20 E,560000,66000,,,<,<,,<,,,,,10,20,60,20,560000,66000,,,E,E,E,E,,,,,White,Whole,,6557
Hillcrest Dairy,502,32,Core,2% White,½ Gal,Plastic,2022-07-13,2022-07-27,2022-07-14,50 E,< 20 E,> 400000 E,> 400000 E,1000000000,1500000000,,,,<,>,>,,,,,50,20,400000,400000,1000000000,1500000000,,,E,E,E,E,,,,,White,2%,,6553
Hillcrest Dairy,502,32-1,Extras,2% White,½ Gal,Plastic,2022-07-13,2022-07-27,2022-07-14,< 10 E,< 20 E,> 400000 E,> 400000 E,49000000,190000000,,,<,<,>,>,,,,,10,20,400000,400000,49000000,190000000,,,E,E,E,E,,,,,White,2%,,6558
Hillcrest Dairy,502,33,Core,Skim White,½ Gal,Plastic,2022-07-13,2022-07-27,2022-07-14,10 E,< 20 E,> 400000 E,> 400000 E,1400000000,1300000000,,,,<,>,>,,,,,10,20,400000,400000,1400000000,1300000000,,,E,E,E,E,,,,,White,Skim,,6554
Hillcrest Dairy,502,35,Flavored,Whole Chocolate,½ Gal,Plastic,2022-07-13,2022-07-27,2022-07-14,10 E,< 20 E,64000,63000,1200000000,2700000000,,,,<,,,,,,,10,20,64000,63000,1200000000,2700000000,,,E,E,,,,,,,Chocolate,Whole,,6555
Hillcrest Dairy,502,35-1,Flavored,Whole Chocolate,Qt,Plastic,2022-07-13,2022-07-27,2022-07-14,20 E,< 20 E,18000,< 20 E,51000000,< 20000 AT,,,,<,,<,,<,,,20,20,18000,20,51000000,20000,,,E,E,,E,,AT,,,Chocolate,Whole,,6556
Stoltzfus Family Dairy,502,41,Core,Whole White Creamline,½ Gal,Plastic,2022-07-13,2022-08-03,2022-07-14,< 10 E,< 20 E,2800,2900,110000000,92000000,360000000,360000000,<,<,,,,,,,10,20,2800,2900,110000000,92000000,360000000,360000000,E,E,,,,,,,White,Whole,Creamline,6559
Stoltzfus Family Dairy,502,41-1,Core,Whole White Creamline,Qt,Plastic,2022-07-04,2022-07-27,2022-07-14,< 10 E,< 20 E,,,< 10 E,< 20 E,< 10 E,< 20 E,<,<,,,<,<,<,<,10,20,,,10,20,10,20,E,E,,,E,E,E,E,White,Whole,Creamline,6560
Stoltzfus Family Dairy,502,45,Flavored,Whole Chocolate Creamline,½ Gal,Plastic,2022-07-11,2022-08-03,2022-07-14,< 10 E,< 20 E,30 E,< 20 E,> 400000 E,< 20 E,1200000,< 20 E,<,<,,<,>,<,,<,10,20,30,20,400000,20,1200000,20,E,E,E,E,E,E,,E,Chocolate,Whole,Creamline,6561
Stoltzfus Family Dairy,502,45-1,Single Serve,Whole Chocolate Creamline,12 oz,Plastic,2022-07-11,2022-08-03,2022-07-14,< 10 E,< 20 E,10 E,< 20 E,> 400000 E,< 20 E,22000000,< 20 E,<,<,,<,>,<,,<,10,20,10,20,400000,20,22000000,20,E,E,E,E,E,E,,E,Chocolate,Whole,Creamline,6562
Stoltzfus Family Dairy,502,46,Single Serve,Whole Latte,12 oz,Plastic,2022-07-12,2022-08-23,2022-07-14,10 E,< 20 E,40 E,< 20 E,< 10 E,< 20 E,40 E,< 20 E,,<,,<,<,<,,<,10,20,40,20,10,20,40,20,E,E,E,E,E,E,E,E,Latte,Whole,,6563
