,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
11,0.664146302,0.64949032,0.678802284,88.82792273,9998,0,N0,0.664146302
4,0.29144606,0.272693149,0.310198971,30.46422684,9998,5.26554460457982e-195,T_T,0.29144606
9,0.211414767,0.192253913,0.23057562,21.62823764,9998,2.01043828638523e-101,T_H,0.211414767
5,-0.094336732,-0.113853278,-0.074820185,-9.474984892,9998,3.27430448569519e-21,t_S,0.094336732
6,0.091200524,0.071678249,0.110722799,9.157302962,9998,6.36413995501696e-20,T_S,0.091200524
3,0.083352707,0.063816954,0.102888461,8.363541385,9998,6.8983643247012e-17,t_T,0.083352707
10,0.076619083,0.057072737,0.096165429,7.683728891,9998,1.69031652680874e-14,P_ppc,0.076619083
2,0.022603712,0.003004748,0.042202677,2.260722785,9998,0.023797836,T_F,0.022603712
7,0.006981222,-0.012622273,0.026584718,0.698069426,9998,0.485150012,t_T2,0.006981222
1,-0.003065329,-0.02266921,0.016538552,-0.30650367,9998,0.759227568,t_F,0.003065329
8,0.002789905,-0.016813992,0.022393802,0.278963694,9998,0.780278457,T_T2,0.002789905
