"","lot_id","unit_id","N0","spoilage_type","STorAT","time","N","logN"
"1.21",1,1,4.51567172629273,"PPC","ST_52",21,3696551.45571762,6.56779675592206
"2.21",1,6,20.259111401877,"PPC","ST_24",21,58673536.3977019,7.76844226499701
"3.21",1,14,0.118179488372427,"PPC","ST_6",21,21743668.3705402,7.33733281567876
"4.21",1,21,1.57484895093651,"PPC","ST_13",21,123157139.421154,8.09045959296228
"5.21",1,29,8.95582944753652,"PPC","ST_52",21,79502874.2906395,7.90038283011558
"6.21",1,30,0.103705269106019,"PPC","ST_52",21,19364689.2893867,7.28701053302944
"7.21",1,31,18.4060697270486,"PPC","ST_23",21,55414650.1107173,7.74362459543492
"8.21",1,33,0.0781505716187159,"PPC","ST_81",21,213.82189721998,2.33005217867839
"9.21",1,44,0.173867508571641,"PPC","ST_23",21,53855965.8490939,7.73123381890293
"10.21",1,49,0.0209360458975658,"PPC","ST_9",21,910412.442032589,5.9592381843203
"11.21",1,51,1.56430912382869,"PPC","ST_2",21,9929454.40069638,6.99692538572834
"12.21",1,61,0.00704652354554578,"PPC","ST_52",21,1267265.30923998,6.10286754643581
"13.21",1,64,10.2336362517143,"PPC","ST_6",21,24339968.2510682,7.38632000740288
"14.21",1,69,0.506584302312425,"PPC","ST_23",21,58891920.654802,7.77005571828945
"15.21",1,70,12.7904779403685,"PPC","ST_56",21,175058235.241164,8.24318254603889
"16.21",1,73,29.952694263924,"PPC","ST_9",21,80782705.0730956,7.90731839177342
"17.21",1,79,92.4011515040537,"PPC","ST_24",21,62275944.1784228,7.79432032068659
"18.21",1,81,176.773238869905,"PPC","ST_75",21,115869073.219185,8.06396753326662
"19.21",1,89,0.681003961307811,"PPC","ST_9",21,11405.9477250212,4.05713137682415
"20.21",1,90,265.853070094994,"PPC","ST_9",21,177473231.414348,8.24913285696443
"21.21",1,93,2.2050787788989,"PPC","ST_9",21,95866232.07442,7.98166565820006
"22.21",1,96,0.739179793903177,"PPC","ST_6",21,75852546.3038487,7.87997016425458
"23.21",1,97,1.31170735650752,"PPC","ST_13",21,130062872.407359,8.11415334106732
"24.21",2,1,0.168422687341589,"PPC","ST_9",21,76330.0543629529,4.88269557169015
"25.21",2,7,29.7897673237509,"PPC","ST_24",21,62698284.702624,7.79725565958071
"26.21",2,8,8.2424018730022,"PPC","ST_23",21,53273177.9607345,7.72650860498163
"27.21",2,10,1965.69562198448,"PPC","ST_56",21,168843757.337679,8.22748500809303
"28.21",2,17,0.987795361615107,"PPC","ST_13",21,139803771.52492,8.14551888764977
"29.21",2,19,201.969135467367,"PPC","ST_52",21,112616294.01692,8.0516012314539
"30.21",2,23,0.947768635748205,"PPC","ST_23",21,51334619.9498844,7.71041035111939
"31.21",2,25,4.60903360057176,"PPC","ST_13",21,161894493.064494,8.20923207622478
"32.21",2,26,22.6888509972616,"PPC","ST_13",21,137526261.747901,8.13838563811653
"33.21",2,27,50.3344645632121,"PPC","ST_52",21,103389231.839639,8.01447530862106
"34.21",2,31,3.8857932998465,"PPC","ST_2",21,21504058.4609801,7.33252043204926
"35.21",2,32,0.763786410301855,"PPC","ST_13",21,138083318.439696,8.1401412155288
"36.21",2,38,692.961445257828,"PPC","ST_36",21,255828918.837794,8.40794963545851
"37.21",2,40,1.61564093135507,"PPC","ST_17",21,11974.1199742365,4.07824360522839
"38.21",2,44,8.15396424337941,"PPC","ST_24",21,13845288.2085862,7.14130200060856
"39.21",2,47,29.2398311876958,"PPC","ST_17",21,31121399.7147978,7.49305912156773
"40.21",2,49,0.733684791410429,"PPC","ST_52",21,410031.975309048,5.61281772539974
"41.21",2,50,0.101752806591012,"PPC","ST_13",21,120651248.545731,8.08153182051514
"42.21",2,55,3.79164938506149,"PPC","ST_56",21,170099329.731999,8.2307026023
"43.21",2,60,0.0209878096776124,"PPC","ST_52",21,68954406.6313505,7.8385620256174
"44.21",2,65,55.2172931154042,"PPC","ST_24",21,65119525.8524684,7.81371122971274
"45.21",2,71,36.0377149295193,"PPC","ST_24",21,53909975.8789683,7.73166913751156
"46.21",2,85,0.00915913369008835,"PPC","ST_9",21,111510551.44202,8.04731596349393
"47.21",2,87,242.283073892697,"PPC","ST_9",21,58658137.0901777,7.76832826620841
"48.21",2,89,104.159526785569,"PPC","ST_52",21,133371018.939415,8.12506146914519
"49.21",2,91,3.37436116509172,"PPC","ST_52",21,102740777.312502,8.01174284717042
"50.21",2,92,0.0185467640181705,"PPC","ST_75",21,42938.3008979892,4.63284485506932
"51.21",2,96,14.9948368734347,"PPC","ST_13",21,167391062.442777,8.22373226587107
"52.21",2,98,9.06244219207006,"PPC","ST_24",21,17293390.0595783,7.2378801372792
"53.21",3,3,3.39542443069398,"PPC","ST_9",21,105791549.860761,8.02445097965187
