,Plant,VSLNumber,SampleID,Day_Initial_Actual,Spoiled20000_yn,AnyGN_yn,exceed20000byD10_yn,exceed100000postD10_yn,HigherSPC_yn,GN_AtLeast2x,CVTAexceed20000_yn,CVTAexceed1mill_yn,spoilagetype,spoilagetype_actual,,SPC_DI,SPC_D7,SPC_D10,SPC_D14,SPC_D17,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D10,CVTA_D14,CVTA_D17,CVTA_D21,LOD_SPC_DI,LOD_SPC_D7,LOD_SPC_D10,LOD_SPC_D14,LOD_SPC_D17,LOD_SPC_D21,LOD_CVTA_DI,LOD_CVTA_D7,LOD_CVTA_D10,LOD_CVTA_D14,LOD_CVTA_D17,LOD_CVTA_D21,Plant_VSLNumber_SampleID
1,23-03,463,11,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,62,80,2000,22000,2200000,4.30E+08,5,5,5,20,280,700,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,OK,23-03_463_11
2,23-03,463,12,2,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,2.5,70,250,2200,21000,130000,5,5,5,82,5,5300,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,OK,23-03_463_12
4,23-03,463,13,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,72,1000,2500000,25000,35000,3.30E+07,5,1600,2500000,3.30E+07,1.30E+08,4.40E+07,OK,OK,OK,belowLOD,OK,OK,belowLOD,OK,OK,OK,OK,OK,23-03_463_13
5,23-03,463,14,2,yes,yes,no,yes,no,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,50,1000,5300000,2.80E+08,2700000,5,5,5,220000,2.60E+07,2500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,OK,belowLOD,23-03_463_14
3,23-03,463,1-Dec,2,yes,no,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,51,40,250,31,22000,5400,5,5,5,5,5,40,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,23-03_463_12-1
42,36-1007,463,21,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,4600,5000,29000,2.60E+07,2.10E+08,2500000,5,41,31000,1.30E+07,1.10E+08,5.00E+06,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,36-1007_463_21
43,36-1007,463,22,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,400,380,77000,3.00E+07,1.30E+08,4.50E+08,5,270,86000,1.20E+07,8.60E+07,3.90E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_22
45,36-1007,463,23,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,220,66000,3.80E+07,8.30E+07,2.20E+08,5,290,54000,1.30E+07,9.30E+07,1.80E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_23
47,36-1007,463,25,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,13000,40000,50000,6.80E+07,6.40E+07,2.80E+08,5,220,120000,1.00E+08,5.00E+06,1.50E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1007_463_25
44,36-1007,463,22-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,61,3300,4700000,2.80E+07,9.90E+07,5.70E+07,5,3300,5800000,2.50E+07,6.00E+07,6.50E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_463_22-1
