"","plantID","PPC_percent","spore_percent","PPC_cluster","unspoil_percent"
"1",4,0.882352941176471,0.117647058823529,3,2.77555756156289e-17
"2",6,1,0,3,0
"3",8,0.857142857142857,0.142857142857143,3,5.55111512312578e-17
"5",11,0.928571428571429,0.0714285714285714,3,-2.77555756156289e-17
"7",13,0.777777777777778,0,3,0.222222222222222
"11",25,1,0,3,0
"12",26,1,0,3,0
"16",40,0.888888888888889,0.111111111111111,3,5.55111512312578e-17
"22",59,1,0,3,0
"23",63,0.833333333333333,0,3,0.166666666666667
"24",64,0.833333333333333,0.166666666666667,3,-2.77555756156289e-17
"27",68,1,0,3,0
"28",69,1,0,3,0
