,time,geometric mean (log),median (log),arithmetic mean,arithmetic mean (log)
1,0,0.46,0.44,104.14,2.02
2,1,0.63,0.65,150.63,2.18
3,2,0.9,0.93,7501.78,3.88
4,3,1.42,1.41,162073.77,5.21
5,4,2.18,2,2414314.51,6.38
6,5,2.87,2.54,7275061.08,6.86
7,6,3.41,3.02,12459191.27,7.1
8,7,3.83,3.47,17134034.86,7.23
9,8,4.17,3.84,21136993.76,7.33
10,9,4.45,4.22,24661221.4,7.39
11,10,4.7,4.6,27645404.63,7.44
12,11,4.94,4.98,30649873.97,7.49
13,12,5.16,5.37,33960493.69,7.53
14,13,5.38,5.74,37616362.99,7.58
15,14,5.58,6.17,41833834.33,7.62
16,15,5.78,6.54,46580648.96,7.67
17,16,5.95,6.91,51662678.13,7.71
18,17,6.11,7.17,56961872.15,7.76
19,18,6.25,7.36,62464279.99,7.8
20,19,6.38,7.59,68014591.85,7.83
21,20,6.49,7.69,73359725.56,7.87
22,21,6.59,7.72,78405936.06,7.89
23,22,6.68,7.75,83141683.29,7.92
24,23,6.76,7.78,87535747.44,7.94
25,24,6.82,7.79,91605741.2,7.96
26,25,6.88,7.82,95321292.51,7.98
27,26,6.93,7.85,98645012.21,7.99
28,27,6.98,7.87,101610739.4,8.01
29,28,7.02,7.89,104278839.2,8.02
30,29,7.06,7.91,106688661,8.03
31,30,7.09,7.93,108857053.8,8.04
32,31,7.12,7.95,110805118.9,8.04
33,32,7.15,7.96,112564396.7,8.05
34,33,7.17,7.97,114161097.6,8.06
35,34,7.19,7.98,115605911.1,8.06
36,35,7.21,7.99,116899510.8,8.07
