,time,mean_logN,median_logN,meanN,log_meanN
1,0,0.720236236,0.854606019,275.6757566,2.440398575
2,1,0.765281296,0.935564173,289.5917497,2.461786185
3,2,0.834241216,1.030534968,690.6545118,2.839260853
4,3,0.979796173,1.193725799,32147.30379,4.507144554
5,4,1.209895984,1.363416645,658768.5824,5.818732879
6,5,1.450539334,1.523481417,1903572.335,6.279569384
7,6,1.671018593,1.650699988,3133639.712,6.496049062
8,7,1.866686782,1.758948743,4276749.151,6.631113778
9,8,2.03662443,1.85744732,5465481.372,6.737628418
10,9,2.190503614,1.938390864,6293216.52,6.798872674
11,10,2.339968425,2.019747484,6959638.747,6.842586697
12,11,2.489018047,2.090257511,7735850.061,6.888508044
13,12,2.64001343,2.174230008,8576985.445,6.933334673
14,13,2.793337118,2.248006729,9539940.346,6.979545659
15,14,2.947274629,2.318663831,10679579.53,7.028554154
16,15,3.098303968,2.40128119,11900440.27,7.075563029
17,16,3.244023184,2.479063916,13319578.05,7.124490467
18,17,3.381863202,2.556200835,14854611.74,7.171861305
19,18,3.510924804,2.621368231,16450654.58,7.216183183
20,19,3.629888273,2.694237577,18064118.4,7.256816771
21,20,3.738811255,2.767871863,19628622.9,7.292889831
22,21,3.838350284,2.839591508,21076646.86,7.323801519
23,22,3.929294093,2.904026551,22369799.46,7.349662091
24,23,4.012480055,2.990763954,23547864.47,7.371951528
25,24,4.088584656,3.046875945,24659749.54,7.391988661
26,25,4.158101882,3.114365839,25711593.54,7.410128994
27,26,4.221570118,3.20053784,26692789.8,7.426393967
28,27,4.279497181,3.287035989,27600778.55,7.440921333
29,28,4.332375294,3.363131873,28437434.8,7.453890418
30,29,4.380642687,3.458399749,29203669.27,7.465437421
31,30,4.4246801,3.553255947,29901538.03,7.475693527
32,31,4.464868044,3.649212209,30534310.53,7.484788118
33,32,4.501609475,3.76468071,31108486.25,7.492878879
34,33,4.535269035,3.86173541,31632128.83,7.500128421
35,34,4.566151109,3.980764754,32111735.36,7.506663776
36,35,4.594516689,4.136850599,32552771,7.512587963
