"","mean_percent","median_percent","perc_25","perc_75"
"1",0,0,0,0
"2",0.03,0,0,0
"3",0.64,0,0,1
"4",4.97,5,4,6
"5",11.43,11,9,13.25
"6",17.57,17,14.75,21
"7",22.68,22,20,26
"8",27.3,27.5,24,30
"9",31.49,31,28,34
"10",35.66,35,32,38
"11",39.94,39.5,36,43
"12",44.45,44,40,48.25
"13",48.85,48,45,53
"14",53.16,52,49,57
"15",56.9,56,52.75,61
"16",60.87,60.5,56.75,65
"17",64.38,64,61,68
"18",67.43,67,63,71
"19",70.22,70,66,74
"20",72.89,73,68.75,77
"21",75.23,75,71,80
"22",77.15,77,72,81.25
"23",78.76,79,74,83
"24",80.23,80,76,84
"25",81.27,81,77,85
"26",82.2,82,78,85.25
"27",83.18,83,79,87
"28",83.87,84,80,87
