"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0.01,0,0,0
"2",0.12,0,0,1
"3",1.28,1,0,4.52499999999999
"4",11.34,11,5.475,18.525
"5",20.07,20,11.475,27
"6",24.83,24.5,16.475,33
"7",30.8,30,21.475,40.525
"8",37.59,37.5,27,48.525
"9",45.48,46,33,56
"10",52.9,52,40.475,65
"11",61.16,60,48.475,73
"12",68.08,68,57.475,78
"13",74.1,73,63.425,85
"14",78.56,78,69,89.525
"15",81.81,81.5,72,92.525
"16",83.8,84,73.475,94.525
"17",84.88,85,75,95.525
"18",85.8,86,76,96.525
"19",86.5,86.5,76,96.525
"20",87.19,86.5,77,98
"21",87.58,87.5,77.475,98
"22",88.06,87.5,78.475,98
"23",88.38,88,78.475,98.525
"24",88.66,88,78.475,98.525
"25",88.88,88,79,99
"26",89.12,88,79,99
"27",89.26,88,79,99
"28",89.34,88.5,79,99
"29",89.44,88.5,79.475,99
"30",89.66,89,80,99
"31",89.75,89,80,99
"32",89.89,89,80,99
"33",89.99,89,80,99
"34",90.07,89,80,99
"35",90.12,89,80,99
