day,mean_percent,median_percent,perc_2.5,perc_97.5
1,0,0,0,0
2,0.01,0,0,0
3,0.14,0,0,1.525
4,0.68,0,0,3
5,1.39,1,0,4.525
6,2.22,2,0,6
7,2.96,3,0,8
8,3.49,3,0,9
9,4.23,4,0,10
10,4.82,5,0,11.525
11,5.49,5,0.475,12
12,6.1,6,0.475,13
13,6.67,6,1,14
14,7.33,7.5,1,15.525
15,7.96,8,1,16.525
16,8.73,8.5,2,19
17,9.34,9,2,19.525
18,9.95,10,2,20.575
19,10.36,10,2,21.05
20,11,11,2,22.525
21,11.47,11.5,2,23.525
22,12.11,11.5,2.475,25
23,12.77,13,3.475,25
24,13.35,13,4,25.525
25,14.02,14,4.475,26
26,14.42,14,5,27
27,15.05,14,5,27
28,15.59,15,5.95,27.525
29,16.13,15.5,5.95,28
30,16.57,16,6.475,28.525
31,17.1,17,7,28.525
32,17.5,17,7.475,29.525
33,18,18,8,30
34,18.54,18.5,8.475,30
35,19.1,19,9,30.525
36,19.63,19,9,31.525
37,20.02,19.5,9.475,31.525
38,20.61,20,10.475,32.525
39,21.08,21,10.475,33
40,21.56,21.5,11.475,33.525
41,22.09,22,12,34
42,22.41,22,13,34
