"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.01,0,0,0
"3",0.15,0,0,1
"4",1.24,1,0,4
"5",2.72,2,0,7
"6",4.09,4,1,8.52499999999999
"7",5.65,5,1,10.525
"8",6.92,6.5,1.95,13
"9",8.1,8,2.475,15
"10",9.31,8.5,4.475,16.525
"11",10.62,10,6,17.525
"12",11.98,11.5,6,20
"13",13.81,13.5,8,21.525
"14",15.71,15,10,24.525
"15",17.65,17,11,27.525
"16",19.72,19,11.95,29
"17",21.7,21.5,14.475,30.525
"18",23.57,24,15,33
"19",25.36,25.5,15.475,35
"20",26.94,28,18,35.525
"21",28.37,29,19.475,37
"22",29.66,30,20,37.525
"23",31.23,31,21.475,39.525
"24",32.53,32,23.475,42.05
"25",33.67,33,24,42.525
"26",34.64,34,25,45
"27",35.6,35,26,45.525
"28",36.49,36,27.475,46
"29",37.39,37,27.475,47
"30",38.3,38,28.475,48
"31",38.92,39,30,48
"32",39.65,39,30,49
"33",40.08,40,31,49
"34",40.6,40.5,31.475,49
"35",41.21,41,32,50
