"","plantID","PPC_percent","spore_percent","PPC_cluster","unspoil_percent"
"1",4,0.882352941176471,0.117647058823529,3,2.77555756156289e-17
"2",6,1,0,3,0
"3",8,0.857142857142857,0.142857142857143,3,5.55111512312578e-17
"4",10,0.285714285714286,0.642857142857143,2,0.0714285714285714
"5",11,0.928571428571429,0.0714285714285714,3,-2.77555756156289e-17
"6",12,0.444444444444444,0.166666666666667,1,0.388888888888889
"7",13,0.777777777777778,0,3,0.222222222222222
"8",14,0.5,0,1,0.5
"9",17,0.4,0.28,1,0.32
"10",20,0.294117647058824,0.352941176470588,2,0.352941176470588
"11",25,1,0,3,0
"12",26,1,0,3,0
"13",30,0.125,0.75,2,0.125
"14",35,0.2,0.5,2,0.3
"15",39,0.538461538461538,0.307692307692308,1,0.153846153846154
"16",40,0.888888888888889,0.111111111111111,3,5.55111512312578e-17
"17",42,0.266666666666667,0.266666666666667,2,0.466666666666667
"18",50,0.181818181818182,0,2,0.818181818181818
"19",53,0.428571428571429,0.142857142857143,1,0.428571428571429
"20",55,0.5,0,1,0.5
"21",58,0.625,0.125,1,0.25
"22",59,1,0,3,0
"23",63,0.833333333333333,0,3,0.166666666666667
"24",64,0.833333333333333,0.166666666666667,3,-2.77555756156289e-17
"25",66,0.5,0,1,0.5
"26",67,0.5,0.25,1,0.25
"27",68,1,0,3,0
"28",69,1,0,3,0
