t,Isolate ,CountType,Count,LOG10N
0,J3-0120 ,Total,1.30E+04,4.113943352
0,J3-0120 ,Spore,6.85E+03,3.835690571
0,R5-0213 ,Total,1.33E+04,4.123851641
0,R5-0213 ,Spore,3.17E+03,3.501059262
0,H7-0687 ,Total,2.18E+04,4.338456494
0,H7-0687 ,Spore,1.02E+03,3.008600172
0,W8-0169 ,Total,1.90E+04,4.278753601
0,W8-0169 ,Spore,5.62E+03,3.749736316
1,J3-0120 ,Total,1.84E+03,3.264817823
1,J3-0120 ,Spore,1.02E+01,1.008600172
1,R5-0213 ,Total,3.17E+02,2.501059262
1,R5-0213 ,Spore,1.02E+03,3.008600172
2,J3-0120 ,Total,1.30E+03,3.113943352
2,J3-0120 ,Spore,1.20E+02,2.079181246
2,R5-0213 ,Total,3.60E+02,2.556302501
2,R5-0213 ,Spore,0.00E+00,#NUM!
2,H7-0687 ,Total,0.00E+00,#NUM!
2,H7-0687 ,Spore,0.00E+00,#NUM!
2,W8-0169 ,Total,1.00E+03,3
2,W8-0169 ,Spore,0.00E+00,#NUM!
3,J3-0120 ,Total,1.74E+03,3.240549248
3,J3-0120 ,Spore,3.90E+02,2.591064607
3,R5-0213 ,Total,1.15E+03,3.06069784
3,R5-0213 ,Spore,4.00E+01,1.602059991
4,J3-0120 ,Total,2.37E+03,3.374748346
4,J3-0120 ,Spore,3.60E+02,2.556302501
4,R5-0213 ,Total,2.15E+03,3.33243846
4,R5-0213 ,Spore,2.00E+01,1.301029996
4,H7-0687 ,Total,1.30E+02,2.113943352
4,H7-0687 ,Spore,0.00E+00,#NUM!
4,W8-0169 ,Total,4.20E+02,2.62324929
4,W8-0169 ,Spore,1.60E+02,2.204119983
5,J3-0120 ,Total,7.40E+03,3.86923172
5,J3-0120 ,Spore,2.80E+02,2.447158031
5,R5-0213 ,Total,1.17E+04,4.068185862
5,R5-0213 ,Spore,1.00E+01,1
6,J3-0120 ,Total,1.65E+04,4.217483944
6,J3-0120 ,Spore,2.96E+02,2.471291711
6,R5-0213 ,Total,1.18E+05,5.071882007
6,R5-0213 ,Spore,0.00E+00,#NUM!
6,H7-0687 ,Total,1.33E+02,2.123851641
6,H7-0687 ,Spore,0.00E+00,#NUM!
6,W8-0169 ,Total,4.30E+02,2.633468456
6,W8-0169 ,Spore,1.53E+02,2.184691431
7,J3-0120 ,Total,4.18E+04,4.621176282
