t,Isolate ,CountType,Count,LOG10N
0,A5-0030,Total,1.13E+03,3.053078443
1,A5-0030,Total,5.01E+02,2.699837726
2,A5-0030,Total,1.00E+03,3
3,A5-0030,Total,1.16E+03,3.064457989
4,A5-0030,Total,1.06E+03,3.025305865
5,A5-0030,Total,1.02E+03,3.008600172
6,A5-0030,Total,1.80E+03,3.255272505
7,A5-0030,Total,4.80E+03,3.681241237
9,A5-0030,Total,1.55E+04,4.190331698
11,A5-0030,Total,1.52E+05,5.181843588
13,A5-0030,Total,1.37E+06,6.136720567
15,A5-0030,Total,2.92E+06,6.465382851
17,A5-0030,Total,9.82E+06,6.992111488
19,A5-0030,Total,7.40E+08,8.86923172
21,A5-0030,Total,,#NUM!
23,A5-0030,Total,3.20E+07,7.505149978
25,A5-0030,Total,1.19E+07,7.075546961
27,A5-0030,Total,3.25E+07,7.511883361
29,A5-0030,Total,3.09E+07,7.489958479
0,H8-0237,Total,3.60E+03,3.556302501
1,H8-0237,Total,3.01E+03,3.478566496
2,H8-0237,Total,2.94E+03,3.46834733
3,H8-0237,Total,9.59E+03,3.981818607
4,H8-0237,Total,1.42E+04,4.152288344
5,H8-0237,Total,2.10E+04,4.322219295
6,H8-0237,Total,3.79E+04,4.57863921
7,H8-0237,Total,6.45E+04,4.809559715
9,H8-0237,Total,3.03E+05,5.481442629
11,H8-0237,Total,1.33E+06,6.123851641
13,H8-0237,Total,2.17E+03,3.336459734
15,H8-0237,Total,1.93E+06,6.285557309
17,H8-0237,Total,5.46E+06,6.737192643
19,H8-0237,Total,6.78E+06,6.831229694
21,H8-0237,Total,1.64E+06,6.214843848
23,H8-0237,Total,3.27E+07,7.514547753
25,H8-0237,Total,8.29E+05,5.918554531
27,H8-0237,Total,5.67E+07,7.753583059
29,H8-0237,Total,9.34E+07,7.970346876
31,H8-0237,Total,1.32E+08,8.120573931
0,H8-0287,Total,2.31E+03,3.36361198
1,H8-0287,Total,2.15E+03,3.33243846
2,H8-0287,Total,1.85E+03,3.267171728
3,H8-0287,Total,2.54E+03,3.404833717
4,H8-0287,Total,2.61E+03,3.416640507
5,H8-0287,Total,2.80E+03,3.447158031
6,H8-0287,Total,3.99E+03,3.600972896
7,H8-0287,Total,4.09E+03,3.611723308
9,H8-0287,Total,3.27E+03,3.514547753
11,H8-0287,Total,8.69E+03,3.939019776
13,H8-0287,Total,2.30E+04,4.361727836
15,H8-0287,Total,1.06E+05,5.025305865
17,H8-0287,Total,3.82E+06,6.582063363
19,H8-0287,Total,4.26E+06,6.629409599
21,H8-0287,Total,8.17E+05,5.912222057
23,H8-0287,Total,1.58E+07,7.198657087
25,H8-0287,Total,3.37E+05,5.527629901
27,H8-0287,Total,7.92E+06,6.898725182
29,H8-0287,Total,1.27E+07,7.103803721
0,J3-0123,Total,1.74E+03,3.240549248
1,J3-0123,Total,4.81E+02,2.682145076
2,J3-0123,Total,1.06E+03,3.025305865
3,J3-0123,Total,9.90E+02,2.995635195
4,J3-0123,Total,1.37E+03,3.136720567
5,J3-0123,Total,1.41E+03,3.149219113
6,J3-0123,Total,1.74E+03,3.240549248
7,J3-0123,Total,2.63E+03,3.419955748
9,J3-0123,Total,6.95E+03,3.841984805
11,J3-0123,Total,6.95E+04,4.841984805
13,J3-0123,Total,3.44E+05,5.536558443
15,J3-0123,Total,8.67E+05,5.938019097
17,J3-0123,Total,1.89E+06,6.276461804
19,J3-0123,Total,2.64E+06,6.421603927
21,J3-0123,Total,2.43E+06,6.385606274
23,J3-0123,Total,3.42E+06,6.534026106
25,J3-0123,Total,1.69E+06,6.227886705
27,J3-0123,Total,3.87E+06,6.587710965
29,J3-0123,Total,4.40E+06,6.643452676
0,R7-0277,Spore,1.09E+03,3.037426498
0,R7-0277,Total,1.01E+04,4.004321374
1,R7-0277,Spore,7.00E+01,1.84509804
1,R7-0277,Total,6.64E+03,3.822168079
2,R7-0277,Spore,0.00E+00,#NUM!
2,R7-0277,Total,4.69E+03,3.671172843
3,R7-0277,Spore,0.00E+00,#NUM!
3,R7-0277,Total,8.57E+03,3.932980822
4,R7-0277,Spore,0.00E+00,#NUM!
4,R7-0277,Total,1.07E+04,4.029383778
5,R7-0277,Spore,8.17E+01,1.912222057
5,R7-0277,Total,1.28E+04,4.10720997
6,R7-0277,Spore,5.11E+01,1.7084209
6,R7-0277,Total,2.80E+04,4.447158031
7,R7-0277,Spore,2.04E+01,1.309630167
7,R7-0277,Total,3.86E+04,4.586587305
9,R7-0277,Spore,1.02E+01,1.008600172
9,R7-0277,Total,4.65E+04,4.667452953
11,R7-0277,Spore,4.08E+01,1.610660163
11,R7-0277,Total,6.85E+04,4.835690571
13,R7-0277,Spore,0.00E+00,#NUM!
13,R7-0277,Total,6.03E+04,4.780317312
15,R7-0277,Spore,0.00E+00,#NUM!
15,R7-0277,Total,4.40E+04,4.643452676
17,R7-0277,Spore,0.00E+00,#NUM!
17,R7-0277,Total,7.87E+04,4.895974732
19,R7-0277,Spore,6.00E+01,1.77815125
19,R7-0277,Total,5.50E+04,4.740362689
21,R7-0277,Spore,0.00E+00,#NUM!
21,R7-0277,Total,2.00E+05,5.301029996
23,R7-0277,Spore,0.00E+00,#NUM!
23,R7-0277,Total,3.31E+06,6.519827994
25,R7-0277,Spore,0.00E+00,#NUM!
25,R7-0277,Total,1.34E+07,7.127104798
27,R7-0277,Spore,0.00E+00,#NUM!
27,R7-0277,Total,4.00E+07,7.602059991
29,R7-0277,Spore,0.00E+00,#NUM!
29,R7-0277,Total,6.40E+07,7.806179974
