isolate,rep,STorAT,LOG10N0,lag,mumax,LOG10Nmax
R10-0056,1,13,3.948399523,56.1419329,0.462149405,8.164087268
R10-0056,2,13,3.880034937,58.63890444,0.517540883,8.081889627
R10-0056,3,13,3.74892354,55.86220104,0.448747247,8.146225078
R10-0084,1,9,3.386310787,0,0.1016554,8.004446622
R10-0084,2,9,3.265308696,4.042511032,0.113142226,7.901829427
R10-0084,3,9,4.022266192,0,0.067799272,8.265354202
R10-0151,1,24,3.117115458,7.276514475,0.078099628,7.770895612
R10-0151,2,24,3.1249806,11.85377893,0.082426836,7.784061951
R10-0151,3,24,3.125512365,7.692943249,0.075736443,7.803623281
R10-0531,1,48,2.922529836,33.01047093,0.083677001,8.546864526
R10-0531,2,48,2.951169088,39.09831044,0.085523447,8.575022013
R10-0531,3,48,2.89056936,34.7477903,0.075600444,8.519214404
R10-0553,1,52,2.655095307,1.361612279,0.073619966,8.100106904
R10-0553,2,52,3.072474323,12.77047945,0.074080727,8.037553171
R10-0553,3,52,2.869492946,9.530856804,0.070188449,8.056454737
R10-0701 ,1,56,3.528375253,9.335255697,0.122293218,8.205631526
R10-0701 ,2,56,3.508022635,9.06939488,0.119703916,8.247359402
R10-0701 ,3,56,3.444294307,6.66378746,0.117008988,8.322607731
R10-0908,1,23,3.626272988,59.37908053,0.458897268,7.697395172
R10-0908,2,23,3.691938525,58.84944143,0.439129381,7.703580922
R10-0908,3,23,3.554759658,53.52904749,0.224374533,7.763149123
R10-0941,1,75,3.105508117,2.61082793,0.069113606,8.465010594
R10-0941,2,75,3.277878216,0,0.063152098,8.520564865
R10-0941,3,75,3.339711624,0,0.059445489,8.616982434
R10-0990,1,6,3.091897063,20.56189147,0.092617591,7.575206801
R10-0990,2,6,3.023633516,19.94687167,0.090861408,7.527426816
R10-0990,3,6,3.017122702,41.11527928,0.054113493,7.944120394
R10-1099,1,17,2.978144639,21.98840838,0.073901679,8.585070568
R10-1099,2,17,3.060937142,19.5695732,0.067483627,8.644139599
R10-1099,3,17,3.047024786,22.61911115,0.065291802,8.604943369
R10-1113,1,81,3.293844798,23.10608304,0.07494968,8.566905984
R10-1113,2,81,3.276955811,24.26580274,0.072056668,8.628166505
R10-1113,3,81,3.399549068,31.01772763,0.068495693,8.587758522
R10-1181,1,41,3.127467199,5.691736507,0.074924582,8.239317847
R10-1181,2,41,3.258268236,8.888466676,0.076389757,8.10933321
R10-1181,3,41,3.157883523,0,0.061629034,8.388700022
R10-1344,1,92,2.800436031,7.264513195,0.115740839,8.629336697
R10-1344,2,92,2.932212849,9.386780943,0.11445723,8.554567789
R10-1344,3,92,2.868996639,8.643817297,0.111988473,8.60793263
R10-1432,1,100,3.267866516,3.469635457,0.126264393,7.925076368
R10-1432,2,100,3.382993245,8.867286828,0.134511247,7.906727874
R10-1432,3,100,3.385942499,7.661063291,0.131355898,7.817266574
R10-1587,1,102,3.821372634,20.49605355,0.049266511,7.645392095
R10-1587,2,102,3.50508411,0,0.045667316,7.613996485
R10-1587,3,102,3.875645354,5.3642924,0.041785684,7.681379811
R10-2381,1,2,2.977922983,10.57010859,0.097096203,7.299173076
R10-2381,2,2,2.950727632,13.79496508,0.098427281,7.150239117
R10-2381,3,2,3.755356361,42.88629205,0.078408013,7.148506646
R10-3286,1,36,2.83138734,2.725777458,0.106439392,8.524116493
R10-3286,2,36,2.877662691,1.32481852,0.102727999,8.497562711
R10-3286,3,36,3.784204182,4.71001644,0.083387079,8.76751682
