,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
11,0.546405829,0.529987099,0.56282456,65.23436192,9998,0,N0,0.546405829
9,0.402232326,0.38428415,0.420180501,43.92960882,9998,0,T_H,0.402232326
4,0.23310632,0.214042412,0.252170229,23.96860583,9998,1.72322583049175e-123,T_T,0.23310632
5,-0.080614876,-0.100155045,-0.061074708,-8.087002011,9998,6.8242880159098e-16,t_S,0.080614876
6,0.080399206,0.060858696,0.099939717,8.065225816,9998,8.14836363331251e-16,T_S,0.080399206
3,0.073098128,0.0535466,0.092649656,7.328687823,9998,2.50401558389517e-13,t_T,0.073098128
10,0.070508426,0.050953243,0.090063609,7.067727771,9998,1.68010562678378e-12,P_ppc,0.070508426
2,0.017697762,-0.001903141,0.037298665,1.769876364,9998,0.076778212,T_F,0.017697762
7,0.004122773,-0.015481034,0.02372658,0.412239563,9998,0.68017268,t_T2,0.004122773
1,-0.003162794,-0.022766669,0.016441081,-0.316249344,9998,0.751819859,t_F,0.003162794
8,0.002658093,-0.016945811,0.022261997,0.265783631,9998,0.79041133,T_T2,0.002658093
