"","time","mean_logN","median_logN","meanN","log_meanN"
"1",0,0.456460057374452,0.442282008092521,104.137003310585,2.01760507608211
"2",1,0.632489016279389,0.647282004967283,150.099957116472,2.17638056816544
"3",2,0.900606137446592,0.939462593606485,972.75476626431,2.98800336741946
"4",3,1.42688424205574,1.42210537325166,166847.417093854,5.22231948788281
"5",4,2.1885932881507,2.01694729266242,2496548.00543573,6.3973399214007
"6",5,2.88468858267669,2.54578061122466,7211265.50084991,6.85801148549733
"7",6,3.43932332012227,3.0126388689958,12442606.1045069,7.09491135288445
"8",7,3.8719203649297,3.47308459197353,17064234.4327029,7.23208680892812
"9",8,4.21777496608304,3.87840928890277,20961451.0523883,7.3214213433037
"10",9,4.50919123055451,4.26610587452987,24451518.6244692,7.38830583727337
"11",10,4.7708759631034,4.63976484170371,27624240.1839479,7.44129034140966
"12",11,5.0146085758394,5.01730590351014,30542625.1924121,7.4849063627001
"13",12,5.24805652084541,5.40361629254523,33795560.3047213,7.52885965111185
"14",13,5.47114915293885,5.79628323222218,37597280.8706033,7.57515643680015
"15",14,5.68324383134082,6.21687844697354,41934352.2681711,7.62256993914955
"16",15,5.88080500813314,6.61763281949835,46718231.1172788,7.6694863908135
"17",16,6.06129848672524,6.9930527062083,51908044.2756997,7.7152346664001
"18",17,6.22338921467665,7.20614222848143,57302364.9160942,7.75817254603049
"19",18,6.36839574773958,7.41289215830347,62759129.2590802,7.79767690941139
"20",19,6.49699200421088,7.61294714992822,68223335.8783199,7.83393295104509
"21",20,6.6102800118096,7.69476903929253,73461279.3337982,7.86605848734675
"22",21,6.70988833673674,7.72513768966902,78390255.6591583,7.89426208084169
"23",22,6.79743807939449,7.75263169380143,83029470.3203085,7.91923226738608
"24",23,6.87438190677202,7.77832137770062,87372413.7533822,7.94137433371216
"25",24,6.94192279208809,7.7953496684215,91421955.0723738,7.96105050450598
"26",25,7.00114378941927,7.81941317191117,95170117.5532705,7.97850060574842
"27",26,7.05307973604619,7.84651181675326,98592214.2831207,7.99384262054584
"28",27,7.09869440014696,7.87150283467478,101665352.799692,8.00717297208092
"29",28,7.13885210507493,7.89245927133384,104399921.177624,8.01870017077222
"30",29,7.17434278215538,7.91224095851697,106848303.762295,8.02876763204503
"31",30,7.20582242884674,7.92951094882997,109058261.831311,8.03765857162803
"32",31,7.23380414859572,7.94335631393303,111058097.605441,8.04555022985566
"33",32,7.25869891213087,7.95438379996982,112867144.064735,8.05256753600755
"34",33,7.28086725612707,7.9675411407815,114495603.331958,8.05878880994813
"35",34,7.30064304328281,7.97728387324275,115947816.063771,8.06426257289306
"36",35,7.31832271115157,7.98715886721441,117232994.491531,8.06904985834561
