"","time","mean_logN","median_logN","meanN","log_meanN"
"1",0,0.618493287304999,0.627817770628505,193.961767550921,2.28771613313638
"2",1,0.730169515301547,0.774843911501845,258.118665425504,2.41181941096849
"3",2,0.879620464527274,0.98959752841587,628.169761880899,2.7980770269935
"4",3,1.20866472417301,1.33695118908842,100799.761462346,5.00345950437429
"5",4,1.65783870367076,1.67341490197421,1571526.63778712,6.19632174682093
"6",5,2.10271350575342,1.94324222406901,4397248.86206294,6.64318104518811
"7",6,2.47448295329415,2.18934023359565,7229623.03726712,6.8591156531586
"8",7,2.76234145572709,2.35123474742854,9921114.07673928,6.99656044334504
"9",8,3.02118681928897,2.54882922203706,12228096.2010129,7.08735884675382
"10",9,3.22460380029625,2.65030509933775,14239019.4830738,7.15348008426209
"11",10,3.43043802842748,2.84094207610716,15980912.4178653,7.20360157139423
"12",11,3.6276619238745,3.03586897026605,17810990.2347635,7.25068806553503
"13",12,3.80076218803232,3.20635739718771,19835583.1601827,7.29744497312509
"14",13,3.99401256698655,3.43429083995963,22068888.4818443,7.34378046010512
"15",14,4.16078471040897,3.69676173774592,24523506.7247678,7.38958257197706
"16",15,4.33738338916344,4.00824522930534,27308665.624637,7.43630047985358
"17",16,4.50191802440206,4.30398145701333,30309362.5246285,7.4815768022552
"18",17,4.63538263036809,4.64991375005382,33467546.3418101,7.52462387341921
"19",18,4.78219207564026,4.98953225461322,36693034.2623245,7.56458362641655
"20",19,4.89464914226602,5.34080624852307,39886185.6288512,7.60082250611307
"21",20,5.01303892922774,5.67399546035709,43013094.4667358,7.6336006878804
"22",21,5.11886482401368,5.93675913789178,46113493.9057306,7.6638280288881
"23",22,5.19534557921795,6.242458199827,49142352.9114727,7.69145594644617
"24",23,5.28716883103595,6.51495722455182,52003625.6928815,7.71603362370247
"25",24,5.34784657828594,6.80753935506033,54636448.7813183,7.73748246364569
"26",25,5.41873923268004,7.0181950208103,57028063.5298508,7.75608862473996
"27",26,5.48165586472752,7.12532617203654,59175075.8419139,7.77213882321631
"28",27,5.51994462393023,7.17818416304749,61098642.6913274,7.78603156248127
"29",28,5.57826348394994,7.21288301548205,62831142.2888573,7.79817495539058
"30",29,5.60972899252759,7.23413359004049,64401090.2718451,7.80889321976723
"31",30,5.65491124136373,7.2489368208555,65823775.2765224,7.81838278732848
"32",31,5.6948935928875,7.26294986748832,67106565.91363,7.82676501496112
"33",32,5.71258488430827,7.27958358798156,68259573.2284372,7.83416356866114
"34",33,5.75240363805865,7.29149817693622,69297582.1798818,7.84071808216947
"35",34,5.76735263086688,7.29999075534163,70236062.0085597,7.84656015358289
"36",35,5.79790684576843,7.30920978587107,71085638.217992,7.85178186693646
