"","mean_percent","median_percent","perc_25","perc_75"
"1",0,0,0,0
"2",0.02,0,0,0
"3",0.74,1,0,1
"4",4.73,5,3,6
"5",10.68,10,8,12
"6",17.25,17,14,20
"7",22.38,23,19,25
"8",26.83,26.5,23,30
"9",31.12,31,27,35
"10",35.06,34,31,39
"11",39.02,38,34.75,43
"12",42.96,42.5,39,47
"13",47,47,43,51
"14",51.24,51,47,55
"15",55.39,55,51,59
"16",59.38,59,54,63
"17",63.14,62.5,58,67
"18",66.45,66,62,70
"19",69.44,69,65,73
"20",71.99,71,68,76
"21",74.02,73,70,78.25
"22",75.67,75,71.75,80
"23",77.2,77,73,81.25
"24",78.53,78,74,83
"25",79.89,79.5,75.75,84
"26",81,80.5,77,85
