"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.02,0,0,0
"3",0.66,0.5,0,3
"4",4.44,4,1,8
"5",10.64,11,5,16.525
"6",16.63,17,9,25.05
"7",22.28,23,14,31.525
"8",26.72,27,19,36.575
"9",30.74,31,23,40
"10",35.06,35,26,46.05
"11",39.26,39,30.475,51.05
"12",43.51,43,34.475,56.05
"13",48.16,47.5,39,59.525
"14",52.91,53,43.475,64.525
"15",57.16,57,46.475,67.525
"16",61.15,61,51.475,72.525
"17",64.94,65.5,54,77
"18",68.36,68,56.475,79
"19",71.36,71,61.475,81.525
"20",73.86,74,63.475,84
"21",76.12,76,66,86
"22",77.8,78,69,88.575
"23",79.45,80,69.95,89.525
"24",80.74,81.5,72,91.525
"25",81.92,82,73.475,92
"26",82.98,83,74,92
"27",83.94,84,75,92.525
"28",84.69,84.5,75.475,94
"29",85.44,85.5,76.475,94.525
"30",86.07,86,78,95.525
"31",86.67,87,79,95.525
"32",87,87,79,96
"33",87.47,87,80,96
"34",87.89,87,81,96
"35",88.18,87,81,96.525
