"","mean_percent","median_percent","perc_25","perc_75"
"1",0,0,0,0
"2",0,0,0,0
"3",0.17,0,0,0
"4",1.11,1,0,2
"5",2.52,2,1,3
"6",3.91,3,3,5
"7",5.18,5,4,6.25
"8",6.47,6,5,8
"9",7.41,7,6,9
"10",8.52,8,6.75,10
"11",9.75,9,8,11
"12",10.87,10,8,13
"13",12.13,11.5,9,14
"14",13.51,13.5,10,16.25
"15",14.86,14,11,18
"16",16.27,16,12,20
"17",17.44,17,13,21
"18",18.59,18,14,22
"19",19.76,19.5,16,23
"20",20.81,20.5,17,24
"21",21.96,22,18,26
"22",22.93,22,19,27
"23",24,23,20,28
"24",24.99,24.5,21,28.25
"25",25.92,25,22,30
"26",27.08,26,23,31
"27",28.12,27,24,32
"28",29.13,29,25,33
"29",30.15,30,26,34.25
"30",31.15,31,27,35
"31",32.04,32,28,36
"32",33.18,32.5,29,37
"33",34.13,34,30,38
"34",35.3,36,31.75,39
"35",36.36,36,32,40
