,mean_percent,median_percent,perc_2.5,perc_97.5
1,0,0,0,0
2,0,0,0,0
3,0.15,0,0,1
4,1.63,1,0,4
5,2.94,3,0,7
6,3.79,4,0,8.525
7,4.48,5,0,9.525
8,5.67,6,0,11
9,6.91,7,0.475,14
10,8.14,9,1,17
11,9.7,10,1.475,19.525
12,10.96,11,2,20
13,11.98,11.5,3,21.525
14,12.95,13,3,22.525
15,13.61,13.5,3,24
16,14.1,13.5,3,26
17,14.62,14,3,26.525
18,15.16,14.5,4,27
19,15.8,15,5,27.525
20,16.62,16,5.95,28.525
21,17.6,16,7,30
22,18.38,17,8,30
23,19.51,18,9,30
24,20.35,20,9,31.525
25,21.33,20.5,10,32.525
26,22.25,21,10,34.05
27,23.08,22,11,35.525
28,23.81,23,11,35.525
29,24.57,24,12,37
30,25.29,25,13.475,37.525
31,25.82,25,14.475,37.525
32,26.39,26.5,16,38.525
33,26.91,27,16,39.525
34,27.44,27,16.475,39.525
35,28.02,27.5,17,39.525
36,28.61,28,17,40.525
37,29.23,29,17,41.05
38,29.72,29,18,41.525
39,30.19,29.5,18.475,42
40,30.72,30,18.95,42
41,31.27,31,20,43.525
42,31.67,31,20.475,43.525
