"","mean_percent","median_percent","perc_25","perc_75"
"1",0,0,0,0
"2",0,0,0,0
"3",0.2,0,0,0
"4",1.12,1,0,2
"5",2.74,2,1.75,4
"6",4.06,4,3,5
"7",5.57,5,4,7
"8",6.76,6,5,8
"9",7.68,7,6,10
"10",8.67,8,6.75,10.25
"11",9.54,9.5,7,11.25
"12",10.41,10,8,13
"13",11.34,11,8.75,14
"14",12.13,12,9,15
"15",12.91,13,10,16
"16",13.93,14,10,17
"17",14.86,15,11,18.25
"18",15.77,16,12,20
"19",16.67,17,12.75,20
"20",17.56,17,14,21
"21",18.37,18,14,22
"22",19.18,19,16,23
"23",20.01,19.5,17,24
"24",20.58,20,17,24.25
"25",21.17,20,17.75,25
"26",21.76,21,18,26
"27",22.39,22,18,26.25
"28",23.05,22.5,19,27
"29",23.67,24,21,28
"30",24.22,24,21,29
"31",24.76,25,21,29
"32",25.43,25,22,29
"33",26.11,26,23,30
"34",26.71,27,23,31
"35",27.35,27.5,24,32
