"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.01,0,0,0
"3",0.33,0,0,2
"4",2.57,2,0,6.52499999999999
"5",5.87,5,1,11.525
"6",9.21,9,3,16.525
"7",11.76,11,4,20.525
"8",14.26,14,5,24.525
"9",16.82,16,6,29.525
"10",19.1,19,8.475,31.525
"11",21.27,21,9,34.525
"12",23.77,23.5,11.475,38.525
"13",26.11,27,12.95,43.575
"14",28.62,29,14,48.05
"15",31.02,31.5,16,52
"16",33.43,34,17,54.05
"17",35.43,37,18,56.525
"18",37.01,38,20.475,58.525
"19",38.81,39,21.475,60.525
"20",40.17,40.5,21.95,62.525
"21",41.33,40.5,22.95,64.525
"22",42.46,41,24,66.525
"23",43.51,42.5,24.475,67
"24",44.38,43,25,68
"25",45.1,44,26,69.525
"26",45.84,44.5,26,70.525
"27",46.6,45.5,27.475,70.525
"28",47.17,46,27.475,71
"29",47.8,46.5,28.475,71.525
"30",48.41,47,29.475,72
"31",48.94,48,29.95,73
"32",49.33,48,30.95,73.525
"33",49.78,49,30.95,73.525
"34",50.27,49.5,31.95,73.525
"35",50.79,50,32.475,74
