"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.02,0,0,0
"3",0.48,0,0,2
"4",2.89,2,0,7
"5",6.5,6,2,13
"6",9.81,10,4,18.05
"7",12.71,12,5.475,21.525
"8",15.66,15,9,24.525
"9",18.37,17.5,11,27.525
"10",20.98,20,13,31
"11",23.74,23,15,33.525
"12",26.5,26,16.475,37
"13",29.47,29.5,18.475,40
"14",32.73,33,21.475,44
"15",35.88,36,24.475,46
"16",38.82,39,27.95,50
"17",41.66,42,31,53
"18",44.51,45,33.475,55.525
"19",47.2,47,34.95,58
"20",49.63,50,37.475,60
"21",51.8,51.5,39.475,61
"22",53.45,53.5,40.475,63
"23",54.74,54.5,42.95,67.05
"24",55.97,56,44.475,68.05
"25",57.2,57,45.475,70
"26",58.15,57.5,47,70.525
"27",59.18,59,48,71.525
"28",59.92,59,48.475,73
"29",60.6,60,49.475,73.525
"30",61.42,61,49.95,74.05
"31",62.1,61.5,49.95,74.575
"32",62.61,62,49.95,75.1
"33",63.1,62,51.475,75.575
"34",63.57,63,52,75.575
"35",63.94,63,52,76.05
