"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.01,0,0,0
"3",0.42,0,0,2
"4",2.86,3,0,7.52499999999999
"5",6.29,6,2,13
"6",9.9,10,5,16.525
"7",12.89,13,6.475,20
"8",15.65,15,9,25.05
"9",18.22,18,10.475,28.05
"10",20.76,20.5,11.475,32.525
"11",23.4,22.5,13.95,34.525
"12",26.3,26,16.475,37.525
"13",29.15,29,19,39.525
"14",32.04,32,21.475,43
"15",35.01,35,24.475,47
"16",38.05,38,27.475,49.525
"17",40.72,40.5,28.475,52.525
"18",43.19,43,31,55
"19",45.67,45.5,34.475,59
"20",47.66,47,36,61
"21",49.67,50,37.475,63
"22",51.34,52,38.425,64.525
"23",52.74,53,39.425,66
"24",53.96,53.5,41.475,67.525
"25",55.13,54.5,42,68.525
"26",56.07,55.5,43.475,68.525
"27",56.92,56,44.475,69.525
"28",57.8,57,45.95,70.525
"29",58.51,58,46.95,71.05
"30",59.12,58,48.475,71.525
"31",59.72,58.5,49,72.05
"32",60.31,60,50,73
"33",60.66,61,50,73
"34",61.33,61,50,74
"35",61.78,61.5,50.475,75
